favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
14557,Periscope,Addressing the National Convention of @BJP4India Mahila Morcha. Watch. https://t.co/kgbdBqzk06,,False,Sat Dec 22 11:56:40 +0000 2018,3229,1076446421660819456
16154,Twitter for iPhone,"During the Conference of DGPs and IGPs, I’ve also got the opportunity to meet select groups of officials and discus… https://t.co/zXwR4p0bkV",,False,Fri Dec 21 16:41:42 +0000 2018,2814,1076155762148282368
17392,Periscope,Happy to be in Raebareli. Watch my speech at the public meeting. https://t.co/G1usbS8jIA,,False,Sun Dec 16 06:18:00 +0000 2018,3985,1074186862590189568
14820,Twitter Media Studio,"Over the last four and a half years, lot of effort has been devoted towards women empowerment. 

Nari Shakti has be… https://t.co/4OYeUamluW",,False,Sat Dec 22 16:31:38 +0000 2018,3363,1076515615798636546
14526,Twitter Web Client,"Had an excellent interaction with newly elected Sarpanches of Panchayats from across Jammu and Kashmir. 

Wished th… https://t.co/mIKjGEcn7r",,False,Wed Dec 19 14:27:26 +0000 2018,2838,1075397199167508480
11360,Twitter for iPhone,Dear @capt_amarinder Ji best wishes for the procedure. Praying for your speedy recovery. https://t.co/OGJu6y25KF,,False,Sun Dec 16 16:58:03 +0000 2018,1862,1074347936992124928
42180,Twitter for iPhone,"लौह पुरुष सरदार वल्लभभाई पटेल को उनकी पुण्यतिथि पर मेरी विनम्र श्रद्धांजलि।

Remembering the great Sardar Patel on… https://t.co/QhOGJmKU2h",,False,Sat Dec 15 02:50:08 +0000 2018,7383,1073772163793149952
12810,Twitter for iPhone,It’s been a productive day at the Conference of DGPs/IGPs in Kevadia. We’ve been having detailed presentations on v… https://t.co/LrNzTLXXIu,,False,Fri Dec 21 16:40:55 +0000 2018,2384,1076155563816427522
9270,Twitter Web Client,"The efforts of our police forces in countering terrorism are commendable. At the DGPs/IGPs conference, spoke about… https://t.co/e7mGB5DsBX",,False,Sat Dec 22 16:27:10 +0000 2018,2100,1076514492857561089
5923,Twitter Web Client,"Will be interacting with @BJP4TamilNadu and @BJP4Puducherry Karyakartas at 4:30 this evening.

Watch the interactio… https://t.co/O3kGxPPDYj",,False,Wed Dec 19 08:19:08 +0000 2018,1370,1075304512661839872
20147,Twitter Web Client,"पहले की सरकारों में क्या कार्य संस्कृति थी, कैसे अन्याय हुआ, इसकी गवाह रायबरेली रेल कोच फैक्ट्री है।
2014 तक यहां… https://t.co/PAbVHaeb0H",,False,Sun Dec 16 15:15:49 +0000 2018,4771,1074322208556752896
18271,Twitter Web Client,"प्रयागराज में संगम पर पूजा - अर्चना का अवसर पाकर धन्य हुआ। 

देशवासियों की ख़ुशहाली और उन्नति की प्रार्थना की। https://t.co/w5ARk07w8H",,False,Sun Dec 16 16:20:27 +0000 2018,3552,1074338475669946368
8310,Twitter Web Client,These elected Sarpanches are extraordinary individuals who have shown immense courage in the face of heavy odds.… https://t.co/u5ULmrkmcv,,False,Wed Dec 19 14:28:24 +0000 2018,1844,1075397438914015232
9955,Twitter Web Client,I congratulate Shri @Bhupesh_Baghel Ji on being sworn-in as Chhattisgarh's Chief Minister and wish him the very bes… https://t.co/Olmb2DAHu4,,False,Mon Dec 17 14:21:45 +0000 2018,1328,1074670991966490624
7985,Twitter Web Client,India and the Maldives look forward to working together in areas such as maritime cooperation and mitigating climat… https://t.co/PgGseRSTJm,,False,Mon Dec 17 14:31:56 +0000 2018,1703,1074673554942177281
7205,Twitter Media Studio,"Today in Prayagraj, several projects were inaugurated or their foundation stones were laid. These will improve the… https://t.co/CrYCrpnliR",,False,Sun Dec 16 16:22:38 +0000 2018,1823,1074339023731093509
9811,Twitter Web Client,"I commend the @BJP4Haryana team for assiduously working for people's welfare. 

Under the leadership of Shri… https://t.co/tHDI7n9S4o",,False,Wed Dec 19 14:24:16 +0000 2018,2381,1075396400974770176
7052,Twitter Web Client,"प्रयागराज का आज का मेरा कार्यक्रम प्राचीन विरासत और जनता के लिए आधुनिक सुविधाओं को समर्पित था। 

नया हवाई अड्डा देश… https://t.co/yDzVaoxQmU",,False,Sun Dec 16 16:21:59 +0000 2018,1592,1074338860371460096
11261,Twitter for iPhone,Birthday greetings to Karnataka CM Shri @hd_kumaraswamy Ji. Praying for his long and healthy life.,,False,Sun Dec 16 07:18:12 +0000 2018,1483,1074202013246861312
18851,Twitter for iPhone,"Do you have an idea for this month’s #MannKiBaat on the 30th? 

Share it on the MyGov Open Forum. 

You can also di… https://t.co/v51XlJTcVg",,False,Thu Dec 20 02:54:52 +0000 2018,3685,1075585296765476870
29101,Twitter for Android,"Chennai based Dr S Jayachandran is a hero. His was a life purely for the betterment of others. 
https://t.co/CVlJiFmPZ7",,False,Fri Dec 21 11:55:42 +0000 2018,6860,1076083789145681922
22699,Twitter for iPhone,Congratulations to Mr. Zoramthanga on taking oath as Mizoram's Chief Minister. Wishing him the very best for his te… https://t.co/eBZe4C8fpI,,False,Sat Dec 15 13:35:02 +0000 2018,3273,1073934457596469249
12100,Twitter Web Client,The high voter turnout in the polls clearly displays immense faith that people of J&amp;K have put in grass root democr… https://t.co/xrKNkDuYUD,,False,Wed Dec 19 14:29:03 +0000 2018,2449,1075397604056297472
9620,Twitter Web Client,"The Hockey World Cup in Odisha has been a treat for sports lovers. It was characterised by iconic matches, exceptio… https://t.co/2qE09fTQRJ",,False,Mon Dec 17 06:46:42 +0000 2018,1821,1074556472732803072
15810,Twitter for iPhone,"With the passing away of Dipali Barthakur Ji, we have lost an outstanding singer who made Assamese music and cultur… https://t.co/5YJnmtGTpL",,False,Fri Dec 21 12:03:05 +0000 2018,3087,1076085646584963072
9575,Periscope,Wonderful to interact with booth level Karyakartas from Tamil Nadu. Watch. https://t.co/7ZIe5Z5ZJy,,False,Sat Dec 15 11:08:45 +0000 2018,2235,1073897643871367170
19485,Twitter Web Client,Need of the hour for the police forces is to use latest technology including social media. Lots can also be done in… https://t.co/oNGca42VwY,,False,Sat Dec 22 16:27:50 +0000 2018,3637,1076514661208453120
11043,Twitter Web Client,There are elements who are exploiting caste fault-lines for their short term gains. It is important that police for… https://t.co/c8EISMflvs,,False,Sat Dec 22 16:27:32 +0000 2018,2687,1076514586386345985
19333,Twitter for Android,"Paid tributes to the great Sardar Patel at the ‘Statue of Unity.’ 

As India’s Home Minister, his contribution towa… https://t.co/ssFGTYIzcM",,False,Fri Dec 21 05:25:41 +0000 2018,3616,1075985636451123201
13489,Periscope,Having an interesting interaction with BJP Karyakartas based in Tamil Nadu and Puducherry. Watch. https://t.co/paDaTQaj5k,,False,Wed Dec 19 11:15:30 +0000 2018,2838,1075348895020896258
