favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
1834,Twitter for iPhone,Flag hoisting and Independence Day celebrations at AICC https://t.co/Q1z7Y4BKKw,,False,Mon Aug 15 06:03:34 +0000 2016,1558,765066381297680384
481,Twitter Web Client,Deeply saddened at the passing away of Congress MLA Shri Kista Reddy.My condolences to his family.His demise is a big loss for @TelanganaPCC,,False,Tue Aug 25 13:23:06 +0000 2015,419,636166912486076417
27609,Twitter for iPhone,"Just 12 yrs old, Chennai boy R Praggnanandaah has become the second youngest Chess Grand Master ever!  

Congratula… https://t.co/GKUODChh51",,False,Sun Jun 24 11:40:05 +0000 2018,7324,1010850041047715840
946,Twitter Web Client,"Due to extension of Lok Sabha session till 13th May, Rahul Gandhi's Padyatra in Telangana will now happen on 15th May",,False,Fri May 08 14:29:56 +0000 2015,772,596683457712947201
610,Twitter for iPhone,"महर्षि वाल्मीकिजी की हर तस्वीर में उनके हाथ में कलम होता है-मैं चाहता हूँ वाल्मीकि समाज के हर बच्चे के हाथ में भी कलम हो,हर बच्चा शिक्षित हो",,False,Tue Oct 27 12:12:00 +0000 2015,635,658979457571491841
894,Twitter for iPhone,"मैं RSS का नहीं हूँ मैं गलतियाँ करता हूँ,मैं सब कुछ जानता नहीं हूँ-मैं जनता से सुनता हूँ, समझने की कोशिश करता हूँ, फिर इस हाउस में बोलता हूँ",,False,Wed Mar 02 12:35:51 +0000 2016,953,705008718706921472
433,iOS,This is not just about your institute.It is happening across the board-in our education system &amp;our bureaucracy too http://t.co/7CLs51w2Ei,,False,Fri Jul 31 07:16:57 +0000 2015,460,627015072791949313
811,Twitter for iPhone,"Schedule for Sept 18th, Day 11 covering Jhansi and Jalaun https://t.co/Rc26jV2K4l",,False,Fri Sep 16 14:58:04 +0000 2016,863,776797303680053249
415,Twitter for iPhone,प्रधानमंत्री मोदी जी का रिमोट कंट्रोल RSS के हाथ में है,,False,Thu Oct 29 07:34:08 +0000 2015,458,659634303744110592
504,Twitter for iPhone,I am happy that @tarun_gogoi ji's Govt is helping lakhs of women by connecting them to banks. https://t.co/1FPyH9vlO8,,False,Fri Dec 11 10:42:49 +0000 2015,603,675264468637487104
3677,Twitter for iPhone,"Nine days on, 45 FIRs against protesting farmers, but not one against those who murdered 6 farmers in cold blood?… https://t.co/gGrVFGk1it",,False,Thu Jun 15 11:44:54 +0000 2017,2490,875318194348503040
884,Twitter for iPhone,Very sad to know that 10 of our brave soldiers lost their lives in an avalanche in Siachen. My thoughts &amp;prayers are with their families,,False,Thu Feb 04 15:12:18 +0000 2016,882,695263617168465924
1292,Twitter for iPhone,"सत्यमेव जयते! 
Modiji do hear these words of Rohith Vemula's mother: 
https://t.co/3ZWKusIysT",,False,Sat Feb 27 13:16:29 +0000 2016,1501,703569392404008961
19769,Twitter for iPhone,"Congratulations Team India on your historic win at the #BlindCricketWorldCup
The nation celebrates with you tonight… https://t.co/4k2L4JGOQp",,False,Sat Jan 20 15:28:24 +0000 2018,4880,954737380237258752
466,Twitter for iPhone,Copy of the memorandum submitted to @RashtrapatiBhvn @Partap_Sbajwa @capt_amarinder https://t.co/OW0yn0fimY,,False,Thu Nov 19 13:21:03 +0000 2015,493,667331753401409538
515,Twitter Web Client,"We wrote in the law, that if land is acquired, then there should be a social audit to assess the impact on all those affected: Rahul Gandhi",RahulGandhi,False,Fri May 15 10:16:36 +0000 2015,481,599156418462121984
1362,Twitter for iPhone,Thank you to the people of Gorakhpur for joining our roadshow in large numbers! https://t.co/1jhyffHTYr,,False,Wed Sep 07 09:44:15 +0000 2016,1081,773456840847949824
1580,Twitter for iPhone,Sharing schedule of Day1 of Kisan Yatra. Watch this space for  updates on day to day schedule as Yatra progresses https://t.co/i4KpWhsbbb,,False,Sat Sep 03 05:57:31 +0000 2016,1400,771950228664684544
13329,Twitter for iPhone,"सूरज को दीपक न दिखाने से उसकी चमक नहीं घटती! ऐसे ही राज के लिए भारतेंदु ने लिखा था, 'अंधेर नगरी, चौपट राजा'!
https://t.co/4Mrq6Aevue",,False,Tue Oct 03 08:33:13 +0000 2017,5010,915132620626939904
2180,Twitter for iPhone,Blaming Punjab/Hry farmers won't solve pollution problem in Delhi.Pl learn from Sheilaji.Rise above blame game Mr Kejriwal &amp;Mr Modi &amp;act now,,False,Sun Nov 06 10:36:46 +0000 2016,1665,795213330025586690
28176,Twitter for iPhone,"284 Cr of Rafale kick-back money has been traced to an Anil Ambani owned company. 

The stench of corruption is lea… https://t.co/VKoeNeWwY4",,False,Fri Nov 02 09:26:46 +0000 2018,9619,1058289301262344192
805,Twitter Web Client,Leading child rights activists protesting BJP’s anti-child amendment in Juvenile Justice law called on Rahul Gandhi. http://t.co/VkwjpmssFv,,False,Sat May 16 08:38:35 +0000 2015,714,599494140573782018
43647,Twitter for iPhone,"कितने लीक?

डेटा लीक !
आधार लीक !
SSC Exam लीक !
Election Date लीक !
CBSE पेपर्स लीक !

हर चीज में लीक है 
चौकीदार वीक है

#BasEkAurSaal",,False,Thu Mar 29 05:08:14 +0000 2018,15614,979223686204002304
2766,Twitter for iPhone,"'नोटबंदी का फैसला हिंदुस्तान के 99% ईमानदार लोगों पर एक हमला है' Fatorda Ground, Margaon Goa https://t.co/oTm8xJ0llh",,False,Fri Dec 16 13:18:31 +0000 2016,1777,809749549233283072
892,Twitter for iPhone,"जनता इंटर कॉलेज, आज़मगढ़ में खाट सभा के दौरान किसानों से बातचीत करते हुए https://t.co/o1zh4zmKRs",,False,Sat Sep 10 14:25:16 +0000 2016,721,774614724453490689
9767,Twitter for iPhone,"In Doklam, it’s China season again. How will Modi Ji react this time?
https://t.co/lUcy9QetfR",,False,Wed Mar 21 09:30:48 +0000 2018,4224,976390659434270720
10153,Twitter for iPhone,"आप सभी को नवरात्रि की शुभकामनाएं
#HappyNavratri",,False,Thu Sep 21 05:08:19 +0000 2017,2630,910732399453048833
312,Twitter Web Client,"Wherever Govt wants to take away the rights of people-whether its fishermen, labourers,or farmers they will be confronted by the Congress",RahulGandhi,False,Wed May 27 06:34:42 +0000 2015,353,603449231349665792
1924,Twitter for iPhone,Sharing some thoughts on #IndependenceDayIndia https://t.co/NnzZlJTosU,,False,Mon Aug 15 06:07:04 +0000 2016,1859,765067264617963520
600,Twitter for iPhone,Meeting party workers in Salon https://t.co/pWVq31iBdO,,False,Fri Feb 19 11:34:11 +0000 2016,525,700644544975474688
1315,Twitter for iPhone,Wishing the Parsi community Navroze Mubarak! May the new year bring for you much joy and prosperity,,False,Wed Aug 17 03:18:26 +0000 2016,1183,765749599571173376
25456,Twitter for iPhone,"India hangs its head in shame as another one of its daughters is brutally gang raped. 

Prime Minister, your silenc… https://t.co/dSrS53Duzv",,False,Tue Sep 18 09:05:43 +0000 2018,8206,1041976553356357632
519,Twitter for iPhone,"हिंदुस्तान को अगर आगे बढ़ाना है उसमें किसान की भी जगह होनी चाहिये, मज़दूरों की भी,महिलाओं की भी Watch: https://t.co/7DStL35Wzl",,False,Tue Aug 18 10:43:26 +0000 2015,487,633590018024443904
497,Twitter for iPhone,"और जिन लोगों ने भ्रष्टाचार  किया है, उनपर सख्त से सख्त कार्यवाही होनी चाहिए",RahulGandhi,False,Sat Apr 02 09:20:33 +0000 2016,530,716193591232626688
27546,Twitter for iPhone,Congress built the India growth story. Modi has used Demonetisation and the Gabbar Singh Tax to completely destroy… https://t.co/AC3m1CXUpr,,False,Sat Jan 05 14:53:28 +0000 2019,8753,1081564344004104192
502,Twitter for iPhone,"On Day1 will interact with women from SHGs &amp; address the PCC executive in Guwahati. 
On Day2 will undertake a Padyatra in Barpeta",,False,Thu Dec 10 09:59:24 +0000 2015,501,674891154349932544
16258,Twitter for iPhone,"22 सालों का हिसाब
#गुजरात_मांगे_जवाब 

प्रधानमंत्रीजी- 6ठा सवाल:

भाजपा की दोहरी मार
एक तरफ युवा बेरोजगार 
दूसरी तर… https://t.co/EMEhUSLDsE",,False,Mon Dec 04 03:21:29 +0000 2017,7859,937522215804743682
5605,Twitter for iPhone,Anybody who speaks against the RSS/BJP is attacked &amp;even killed. They want to impose only one ideology which is against the nature of India,RahulGandhi,False,Wed Sep 06 07:46:14 +0000 2017,2625,905336323174576128
26055,Twitter Media Studio,"मिलिए अमेठी की दीपाली से...जिसके पास हम सब के लिए एक महत्वपूर्ण सन्देश है:

आंसू खुशी के गम के, होते हैं एक जैसे,
इ… https://t.co/YhBEZAb13y",,False,Wed Apr 18 09:19:01 +0000 2018,7885,986534553874501633
19487,Twitter for iPhone,Enjoyed meeting the regional &amp; national press today in Bengaluru. We had a packed house! I’m sorry not everyone got… https://t.co/VMZAjTlOkN,,False,Thu May 10 08:03:38 +0000 2018,6789,994488116923850752
5381,Twitter for iPhone,भगवान श्री जगन्नाथ जी की रथयात्रा के अवसर पर आप सभी को हार्दिक शुभकामनाएं।जय जगन्नाथ। #RathYatra,,False,Sun Jun 25 03:41:17 +0000 2017,1772,878820365790846976
765,Twitter for iPhone,"शहीद चौराहा, मऊ https://t.co/JGOwkYepN0",,False,Sun Sep 11 09:26:56 +0000 2016,614,774902034285862912
575,Twitter for iPhone,लेकिन अंत में कांग्रेस पार्टी और गोगोईजी ज़बरदस्त तरह से चुनाव जीतेंगे!,,False,Mon Feb 15 10:53:00 +0000 2016,661,699184630008680448
1080,Twitter for iPhone,"..an India of love, compassion &amp; harmony (2/2)",RahulGandhi,False,Mon Jan 30 02:58:51 +0000 2017,776,825901057700159488
